page_id,unique_ads
4ede57b1c6deafa7fb41bb514c20825bbe8f03d20f6a6c478d13a173b1e14f68,12
8ddccadb702bb399f91b68286ff8e39af9a2d74578c225919962430966364046,189
74ec573e309afd748d90a5f63456e0987f5b877d448f12079e4c97fec4b5588b,24
6e27913bad13714ad10221ee705016585ccc9cb0834a36d2803497dd5eb7e808,10
1fbc68e8f007e73aa4fb638776e865629605a4197a461c5dea44a79b52bf70dc,163
e0fecd0cdc25954940ab7cbbb143b477cced85beed0ba2280a2c997488acef02,409
11a95d420b8b98947d887d017a65afdf42f9e5b1cd35f9896a504b5d66ff85c0,3
816d7ccfd3f296e51e985580408f3eda3ebda74e6832ac5257ae91b898f0edb7,20
2bc858cc03b93508ee2fad0f5c9b34d23a57c24077c8828a7447aaad627a4a7e,3
9af306e9f4fd178d46271b8b99bdfd3b052c0f119af872a7bb73487af2664156,1
fe53e8d2960f6069173e70d85e69e58adf96266d73323a973a1630f523eb821d,3
f4077a6b701b5d42d1d421bb91a6e58013b0da5110d91bcd534ef0d851005b08,2
ae029755d51c5f5d7a742ff28f28fd013df0ed3243f780bc661ed129137362ec,21
7b4924fd000b8093835951818198f27dae0a2096fc78a95381d3a512d3fab94d,141
ffe18c5c06c3f91c95789ee57992a7bbf6ac91c9c711759b53a18aed56d55c5c,152
9bc94c1fe2dd017aaf2f8abe9b6817f8c6296976241d4001407a941b3172b095,1
083219a38f48fdb73ae46faea45c4e8b9595e449705ab93bd2d75f09d80a7220,87
1a81a2a663ee204391df2e10d9cf1c9cf8fb3811500850522c7f2dc881664303,1
6fe3c9aec626b8667630a68a70d71487fc25f74ff0931186f5e41bca6d5c0b30,135
ad929f5dd8d57361607d52b5c5dcb50c0faa360c0839b1183a598debb706ead6,41
e792e0bd0c05642b9add9d77dfc81224ffd02d95daef5b378974310d2daf1b87,217
354934a3d86038f103b564536604273b9cd066ec3bab1e20b172c9e6935ab2e8,39
1cfcea6842e431a2725b2247e6a729a3a1917fa0f70a849d10ae56e0e8478027,3
5fb50291707c59d6b48e6be4efe5dee7b2267645c821fe1b20f65c7c43d7a4e3,3
d8ec5c73ef9b2b5f38c3515b8c229068370ee93d67e8c18c600069bea33b1f51,68
754701746cea1db3d82afa4856f728f7a6b449d64e9c9f7429ef25451d1dbc0e,102
fd5b0dee35f02c14381ec4d8bef87e28d5fc38f0db44f4dab5077e44f19ef83a,16
d27f202dc9f96ca0dd3ec6481ec24e11823c18b7d147c7c06708fbc488b1988d,6
207b5726008e3150f6d554cfd738c6de886682159e0e2a26c2ae4039079f84d1,643
5e9c8d87aa5daf0bb2de3a52da2691e4116a8dda84c21e71dc8ee91e76e04ab4,28
d7221821eadfcf41c3db9bc64f857ed7319142fa22d3d9317f1e1814dabe2e78,1
d368841397f00dea74905c71888c048965525f56cab04166a58fc7ff0d853538,55
2c63d09b3545c3c2aa68cdd45de74f447ab354011c462601d82caaeadb10997f,5
